Date,Predicted_Weekly_Sales
2012-11-02,32931.41329999999
2012-11-09,18850.955199999997
2012-11-16,18037.005699999998
2012-11-23,18626.4929
2012-11-30,19872.20050000001
2012-12-07,45408.75769999999
2012-12-14,32374.04169999998
2012-12-21,54247.746700000025
2012-12-28,18426.550400000015
2013-01-04,20425.12729999999
2013-01-11,22064.382299999987
2013-01-18,20102.417399999988
2013-01-25,21547.306299999986
2013-02-01,28705.33019999999
2013-02-08,36027.1204
2013-02-15,38843.45859999998
2013-02-22,24747.37329999999
2013-03-01,23029.66539999999
2013-03-08,23019.396699999987
2013-03-15,23294.809599999975
2013-03-22,28415.614099999995
2013-03-29,26035.697699999986
2013-04-05,64034.03799999998
2013-04-12,31818.766599999995
2013-04-19,24103.3582
2013-04-26,23284.9449
2013-05-03,27262.687899999997
2013-05-10,27096.297900000005
2013-05-17,28820.565700000025
2013-05-24,28297.31300000002
2013-05-31,26439.728400000025
2013-06-07,27311.918600000008
2013-06-14,27994.95030000001
2013-06-21,28242.268300000014
2013-06-28,27358.222800000007
2013-07-05,29711.79860000001
2013-07-12,27865.193200000016
2013-07-19,27406.4711
2013-07-26,27126.527799999996
2012-11-02,45240.11009999999
2012-11-09,46429.700399999994
2012-11-16,45527.77699999998
2012-11-23,47935.87770000001
2012-11-30,47592.85719999999
2012-12-07,45948.9599
2012-12-14,50012.60189999998
2012-12-21,54359.397200000014
2012-12-28,47918.138900000005
2013-01-04,43301.46830000001
2013-01-11,44066.998599999984
2013-01-18,43249.81300000001
2013-01-25,42997.3349
2013-02-01,47587.85220000004
2013-02-08,49381.86080000002
2013-02-15,48099.13940000001
2013-02-22,48128.586599999995
2013-03-01,46601.46410000001
2013-03-08,46377.35970000001
2013-03-15,45248.1835
2013-03-22,48622.41049999996
2013-03-29,46580.31059999997
2013-04-05,46474.377299999986
2013-04-12,44627.83910000001
2013-04-19,44963.83459999998
2013-04-26,45270.78229999997
2013-05-03,46954.368599999965
2013-05-10,46211.73879999999
2013-05-17,47410.70039999997
2013-05-24,48419.63830000001
2013-05-31,49577.448500000006
2013-06-07,46407.22819999999
2013-06-14,48638.316100000004
2013-06-21,48078.9708
2013-06-28,46476.140699999996
2013-07-05,48459.698899999996
2013-07-12,47262.62449999999
2013-07-19,47630.95960000001
2013-07-26,46513.2668
2012-11-02,9998.775099999993
2012-11-09,10810.928099999994
2012-11-16,10018.087099999997
2012-11-23,9016.076999999997
2012-11-30,9391.404099999996
2012-12-07,11361.257299999997
2012-12-14,10502.411499999993
2012-12-21,14221.8978
2012-12-28,8732.057699999996
2013-01-04,11454.713899999999
2013-01-11,11519.311000000002
2013-01-18,11694.635099999998
2013-01-25,10878.282500000003
2013-02-01,12853.137600000002
2013-02-08,13377.560600000004
2013-02-15,11326.247299999999
2013-02-22,12311.116899999999
2013-03-01,10333.968899999996
2013-03-08,9960.391599999994
2013-03-15,9459.857899999988
2013-03-22,11069.18459999999
2013-03-29,9469.296999999995
2013-04-05,8547.786299999998
2013-04-12,8391.5517
2013-04-19,8308.2669
2013-04-26,8294.099900000003
2013-05-03,10677.385100000003
2013-05-10,10806.767699999995
2013-05-17,10931.369599999993
2013-05-24,11257.0958
2013-05-31,10420.414899999998
2013-06-07,11003.706999999997
2013-06-14,11435.705900000003
2013-06-21,12118.539499999995
2013-06-28,11904.809399999996
2013-07-05,11678.647200000001
2013-07-12,15890.4482
2013-07-19,20128.45169999999
2013-07-26,20372.102599999995
2012-11-02,37761.51440000001
2012-11-09,37499.62780000001
2012-11-16,38186.97920000001
2012-11-23,35343.95530000001
2012-11-30,35339.89220000002
2012-12-07,34655.625600000014
2012-12-14,34000.26550000001
2012-12-21,34973.62770000001
2012-12-28,35747.73240000002
2013-01-04,35700.43729999998
2013-01-11,35716.28459999999
2013-01-18,35152.4629
2013-01-25,35402.343100000006
2013-02-01,37696.770200000006
2013-02-08,37954.64699999999
2013-02-15,37075.1662
2013-02-22,36784.007900000004
2013-03-01,35702.16660000002
2013-03-08,37710.41489999999
2013-03-15,35383.46310000001
2013-03-22,37813.97169999999
2013-03-29,37658.11429999999
2013-04-05,37656.778399999996
2013-04-12,36423.09849999999
2013-04-19,37076.785299999996
2013-04-26,36991.36099999998
2013-05-03,37811.77809999999
2013-05-10,37296.237199999996
2013-05-17,37707.0195
2013-05-24,39395.923099999985
2013-05-31,39323.22169999999
2013-06-07,38550.35089999998
2013-06-14,39136.4771
2013-06-21,39388.84629999998
2013-06-28,37601.650899999986
2013-07-05,38979.88029999999
2013-07-12,39034.24089999998
2013-07-19,38763.196999999986
2013-07-26,36530.29030000001
2012-11-02,26330.16779999999
2012-11-09,26124.896199999992
2012-11-16,25662.981999999993
2012-11-23,65163.904700000014
2012-11-30,46464.6839
2012-12-07,48067.56680000001
2012-12-14,41348.34369999999
2012-12-21,52800.61040000002
2012-12-28,32785.07240000002
2013-01-04,27681.71370000001
2013-01-11,25842.5761
2013-01-18,24843.227500000005
2013-01-25,24301.1186
2013-02-01,30754.348000000013
2013-02-08,31393.256700000005
2013-02-15,35896.23350000002
2013-02-22,31985.50689999999
2013-03-01,29474.38869999999
2013-03-08,28736.274299999983
2013-03-15,28937.341499999995
2013-03-22,27562.73640000001
2013-03-29,28264.63089999999
2013-04-05,26963.672699999992
2013-04-12,22342.8127
2013-04-19,21753.4229
2013-04-26,23555.757999999994
2013-05-03,24327.748399999975
2013-05-10,25731.1899
2013-05-17,23942.531799999993
2013-05-24,22864.63649999999
2013-05-31,23895.26699999999
2013-06-07,23648.184099999988
2013-06-14,23979.510799999985
2013-06-21,23302.092499999984
2013-06-28,22900.44499999998
2013-07-05,23450.69499999998
2013-07-12,22668.409599999984
2013-07-19,22832.253099999987
2013-07-26,23374.304899999985
2012-11-02,3143.6228
2012-11-09,2897.4291000000007
2012-11-16,2919.8066000000017
2012-11-23,22974.3355
2012-11-30,6063.9623
2012-12-07,6571.879299999998
2012-12-14,7019.118900000004
2012-12-21,16148.087500000009
2012-12-28,6571.863899999997
2013-01-04,3729.180099999999
2013-01-11,3627.9721999999983
2013-01-18,3341.1819
2013-01-25,3467.3009
2013-02-01,3812.4922999999967
2013-02-08,4118.134999999998
2013-02-15,4285.949299999997
2013-02-22,4209.9847999999965
2013-03-01,3762.534099999998
2013-03-08,3991.507499999999
2013-03-15,4154.240799999999
2013-03-22,4016.5631999999996
2013-03-29,4195.7946999999995
2013-04-05,3896.409299999998
2013-04-12,3954.7645999999995
2013-04-19,4317.682899999998
2013-04-26,4141.0896999999995
2013-05-03,5157.035600000002
2013-05-10,5085.2253
2013-05-17,5233.4532
2013-05-24,5098.382200000002
2013-05-31,5097.719800000001
2013-06-07,5122.8497
2013-06-14,5015.6048
2013-06-21,5221.346699999998
2013-06-28,5017.042299999998
2013-07-05,5032.914199999998
2013-07-12,4908.338099999999
2013-07-19,5009.742499999999
2013-07-26,4795.7255
2012-11-02,20882.354600000006
2012-11-09,22270.5073
2012-11-16,22326.441899999994
2012-11-23,81790.18099999998
2012-11-30,53883.168899999975
2012-12-07,66207.74019999999
2012-12-14,71683.27590000001
2012-12-21,164025.28430000006
2012-12-28,36269.204299999976
2013-01-04,14073.895700000008
2013-01-11,14337.394700000019
